qid,qkym,kym
http://www.wikidata.org/entity/Q6739825,2254,https://knowyourmeme.com/memes/makmende
http://www.wikidata.org/entity/Q7113821,10496,https://knowyourmeme.com/memes/overly-attached-girlfriend
http://www.wikidata.org/entity/Q7187719,1565,https://knowyourmeme.com/memes/photobombing
http://www.wikidata.org/entity/Q7197902,265,https://knowyourmeme.com/memes/pirates-vs-ninjas
http://www.wikidata.org/entity/Q7405970,12582,https://knowyourmeme.com/memes/salt-and-ice-challenge
http://www.wikidata.org/entity/Q7714263,11365,https://knowyourmeme.com/memes/grumpy-cat
http://www.wikidata.org/entity/Q7720628,176,https://knowyourmeme.com/memes/the-burger-king
http://www.wikidata.org/entity/Q7797922,281,https://knowyourmeme.com/memes/three-wolf-moon
http://www.wikidata.org/entity/Q7804964,1901,https://knowyourmeme.com/memes/the-time-cube
http://www.wikidata.org/entity/Q7923090,3249,https://knowyourmeme.com/memes/very-erotic-very-violent-%E5%BE%88%E9%BB%84%E5%BE%88%E6%9A%B4%E5%8A%9B
http://www.wikidata.org/entity/Q7923092,3252,https://knowyourmeme.com/memes/very-good-very-powerful-%E5%BE%88%E5%A5%BD%E5%BE%88%E5%BC%BA%E5%A4%A7
http://www.wikidata.org/entity/Q9384989,7249,https://knowyourmeme.com/memes/five-stripe-boy
http://www.wikidata.org/entity/Q12265058,11944,https://knowyourmeme.com/memes/ola-k-ase
http://www.wikidata.org/entity/Q12339810,91,https://knowyourmeme.com/memes/trollface
http://www.wikidata.org/entity/Q13515562,271,https://knowyourmeme.com/memes/rule-34
http://www.wikidata.org/entity/Q13639319,867,https://knowyourmeme.com/memes/jia-jun-peng-your-mother-wants-you-to-come-home-for-dinner
http://www.wikidata.org/entity/Q14701411,1639,https://knowyourmeme.com/memes/grammar-nazi
http://www.wikidata.org/entity/Q15056165,3678,https://knowyourmeme.com/memes/horse-head-mask
http://www.wikidata.org/entity/Q15613810,13564,https://knowyourmeme.com/memes/doge
http://www.wikidata.org/entity/Q16710155,12008,https://knowyourmeme.com/memes/stoned-fox-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D1%82%D0%B0%D1%8F-%D0%BB%D0%B8%D1%81%D0%B0
http://www.wikidata.org/entity/Q16828887,2658,https://knowyourmeme.com/memes/captain-obvious
http://www.wikidata.org/entity/Q16927904,293,https://knowyourmeme.com/memes/youtube-poop-ytp
http://www.wikidata.org/entity/Q17042352,1368,https://knowyourmeme.com/memes/i-am-error
http://www.wikidata.org/entity/Q17042382,240,https://knowyourmeme.com/memes/its-dangerous-to-go-alone-take-this
http://www.wikidata.org/entity/Q17515210,24600,https://knowyourmeme.com/memes/why-didnt-you-invest-in-eastern-poland
http://www.wikidata.org/entity/Q17521923,16196,https://knowyourmeme.com/memes/ice-bucket-challenge
http://www.wikidata.org/entity/Q18154904,12443,https://knowyourmeme.com/memes/the-glorious-pc-gaming-master-race
http://www.wikidata.org/entity/Q18738659,9515,https://knowyourmeme.com/memes/bad-luck-brian
http://www.wikidata.org/entity/Q19362881,17407,https://knowyourmeme.com/memes/the-dress-what-color-is-this-dress
http://www.wikidata.org/entity/Q19879826,12403,https://knowyourmeme.com/memes/florida-man
http://www.wikidata.org/entity/Q20011140,18106,https://knowyourmeme.com/memes/charlie-charlie-challenge
http://www.wikidata.org/entity/Q21074710,17210,https://knowyourmeme.com/memes/isis-chan
http://www.wikidata.org/entity/Q21161376,745,https://knowyourmeme.com/memes/success-kid-i-hate-sandcastles
http://www.wikidata.org/entity/Q21261978,1445,https://knowyourmeme.com/memes/u-mad
http://www.wikidata.org/entity/Q21994166,17618,https://knowyourmeme.com/memes/pepe-the-frog
http://www.wikidata.org/entity/Q22059966,19519,https://knowyourmeme.com/memes/be-like-bill
http://www.wikidata.org/entity/Q22719204,18296,https://knowyourmeme.com/memes/resting-bitch-face
http://www.wikidata.org/entity/Q22906309,17248,https://knowyourmeme.com/memes/super-bowl-xlix-halftime-left-shark
http://www.wikidata.org/entity/Q22907247,18727,https://knowyourmeme.com/memes/netflix-and-chill
http://www.wikidata.org/entity/Q22908558,4856,https://knowyourmeme.com/memes/scumbag-steve
http://www.wikidata.org/entity/Q22908745,14997,https://knowyourmeme.com/memes/shrek-is-love-shrek-is-life
http://www.wikidata.org/entity/Q23308964,19576,https://knowyourmeme.com/memes/the-dab
http://www.wikidata.org/entity/Q24044993,17966,https://knowyourmeme.com/memes/crying-michael-jordan
http://www.wikidata.org/entity/Q24106814,20401,https://knowyourmeme.com/memes/dat-boi
http://www.wikidata.org/entity/Q24204544,19711,https://knowyourmeme.com/memes/bernie-or-hillary
http://www.wikidata.org/entity/Q24833293,16362,https://knowyourmeme.com/memes/yee
http://www.wikidata.org/entity/Q24905903,20591,https://knowyourmeme.com/memes/simpsonwave
http://www.wikidata.org/entity/Q24908818,19913,https://knowyourmeme.com/memes/ted-cruz-zodiac-killer
http://www.wikidata.org/entity/Q25059032,18295,https://knowyourmeme.com/memes/unexpected-john-cena-and-his-name-is-john-cena
http://www.wikidata.org/entity/Q25338354,11132,https://knowyourmeme.com/memes/grimdark
http://www.wikidata.org/entity/Q26388682,20605,https://knowyourmeme.com/memes/harambe-the-gorilla
http://www.wikidata.org/entity/Q26441203,19798,https://knowyourmeme.com/memes/dont-talk-to-me-or-my-son-ever-again
http://www.wikidata.org/entity/Q27998948,12188,https://knowyourmeme.com/memes/thanks-obama
http://www.wikidata.org/entity/Q28048002,21847,https://knowyourmeme.com/memes/om-telolet-om
http://www.wikidata.org/entity/Q28129014,21353,https://knowyourmeme.com/memes/we-are-number-one
http://www.wikidata.org/entity/Q28130150,14761,https://knowyourmeme.com/memes/banana-sprite-challenge
http://www.wikidata.org/entity/Q28135292,9687,https://knowyourmeme.com/memes/oh-long-johnson
http://www.wikidata.org/entity/Q28401391,18861,https://knowyourmeme.com/memes/bush-did-911
http://www.wikidata.org/entity/Q28407001,22161,https://knowyourmeme.com/memes/cultures/fashwave-trumpwave
http://www.wikidata.org/entity/Q28669443,18711,https://knowyourmeme.com/memes/salil-sawarim-saleel-al-sawarim
http://www.wikidata.org/entity/Q30097292,23103,https://knowyourmeme.com/memes/covfefe
http://www.wikidata.org/entity/Q39045617,23189,https://knowyourmeme.com/memes/milkshake-duck
http://www.wikidata.org/entity/Q42417145,7760,https://knowyourmeme.com/memes/i-took-an-arrow-in-the-knee
http://www.wikidata.org/entity/Q47504984,24551,https://knowyourmeme.com/memes/its-okay-to-be-white
http://www.wikidata.org/entity/Q47545258,24993,https://knowyourmeme.com/memes/tide-pod-challenge
http://www.wikidata.org/entity/Q50809919,22898,https://knowyourmeme.com/memes/steamed-hams
http://www.wikidata.org/entity/Q53672376,26191,https://knowyourmeme.com/memes/yanny-or-laurel
http://www.wikidata.org/entity/Q54765858,18664,https://knowyourmeme.com/memes/the-mandela-effect
http://www.wikidata.org/entity/Q55405369,40039,https://knowyourmeme.com/memes/subcultures/morbius-2022-film
http://www.wikidata.org/entity/Q55606996,25500,https://knowyourmeme.com/memes/steven-crowders-change-my-mind-campus-sign
http://www.wikidata.org/entity/Q55691704,23732,https://knowyourmeme.com/memes/distracted-boyfriend
http://www.wikidata.org/entity/Q56152168,6252,https://knowyourmeme.com/memes/loss
